"ccode","irst.1990","irst.1991","irst.1992","irst.1993","irst.1994","irst.1995","irst.1996","irst.1997","irst.1998","irst.1999","irst.2000","irst.2001","irst.2002","irst.2003","irst.2004","irst.2005","irst.2006","irst.2007","milex.1990","milex.1991","milex.1992","milex.1993","milex.1994","milex.1995","milex.1996","milex.1997","milex.1998","milex.1999","milex.2000","milex.2001","milex.2002","milex.2003","milex.2004","milex.2005","milex.2006","milex.2007","milper.1990","milper.1991","milper.1992","milper.1993","milper.1994","milper.1995","milper.1996","milper.1997","milper.1998","milper.1999","milper.2000","milper.2001","milper.2002","milper.2003","milper.2004","milper.2005","milper.2006","milper.2007","pec.1990","pec.1991","pec.1992","pec.1993","pec.1994","pec.1995","pec.1996","pec.1997","pec.1998","pec.1999","pec.2000","pec.2001","pec.2002","pec.2003","pec.2004","pec.2005","pec.2006","pec.2007","tpop.1990","tpop.1991","tpop.1992","tpop.1993","tpop.1994","tpop.1995","tpop.1996","tpop.1997","tpop.1998","tpop.1999","tpop.2000","tpop.2001","tpop.2002","tpop.2003","tpop.2004","tpop.2005","tpop.2006","tpop.2007","upop.1990","upop.1991","upop.1992","upop.1993","upop.1994","upop.1995","upop.1996","upop.1997","upop.1998","upop.1999","upop.2000","upop.2001","upop.2002","upop.2003","upop.2004","upop.2005","upop.2006","upop.2007"
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94990,60000,-9,54000,60000,61000,60000,59000,66000,88000,29000,27000,26000,95000,122000,158000,3e+05,247000,16,16,16,16,16,16,16,21,17,17,22,22,22,18,16,15,15,15,7885.816,8030.362,8210.999,8354.586,8474.479,15024.03,15007.96,15530.81,15726.1,9421.312,9332.933,10218.11,10510.95,10763.68,11048.52,11372.75,11702.97,12024.99,8073,7389,7555,7723,7897,8081,8275,8478,8781,8976,9169,10089,10409,10744,11090,11441,11799,12161,2325,2402,2478,2555,2631,2708,2784,2861,2937,3014,2407,2465,2524,2585,2648,2722,2800,2879
552,580,581,547,221,154,220,212,214,212,255,258,149,105,152,135,107,24,23,361450,334010,224770,208820,2e+05,233000,242000,304000,334000,418000,276000,267000,920000,110000,251000,136000,156000,-9,45,45,48,48,43,40,40,40,40,40,40,39,26,29,29,29,29,29,11837.63,11527.48,11483.18,11258.16,11983.44,11079.91,10904.14,10792.41,10909.85,11908.88,14801.77,14600.16,14731.79,14485.09,14445.15,15016.85,14791.48,14471.73,9369,10136,10410,10779,11150,11526,11908,12294,11377,11529,11669,12960,12813,12666,12519,12372,12225,12078,1722,1780,1839,1897,1956,2014,2073,2131,2190,2248,2307,2365,2424,2454,2485,2523,2563,2602
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,20000,19430,17500,21000,21000,24000,23000,26000,27000,6000,6000,15000,13000,13000,34000,39000,42000,7,8,10,10,10,10,8,8,8,5,5,5,5,5,5,5,5,5,1919.699,1930.104,1970.913,1867.088,1973.269,1901.302,1885.279,1901.971,1931.066,1979.172,2019.534,2030.228,2087.156,2050.258,2123.031,2148.927,2174.202,2249.689,8289,8556,8823,9135,9461,9788,10114,10441,10346,10640,10925,10816,11175,11549,11938,12341,12758,13188,706,752,799,845,892,939,985,1032,1078,1125,1171,1218,1264,1311,1334,1357,1380,1786
560,8691,9358,9096,8730,8525,8741,7999,8311,7956,7857,8481,8821,9095,9481,9500,9494,9718,9098,4320000,3850000,3320000,3482000,4071000,3177000,2804000,2517000,1900000,1755000,2019000,1829000,1874000,2712000,3132000,3697000,3527000,3753000,85,80,75,75,75,75,75,75,75,68,63,62,60,56,55,55,56,62,205838.8,212413.6,202857.7,219542.3,230665.5,219734.2,209427.4,224065.5,246865.8,287930.3,286648.6,265245.7,232398.7,250915.8,332615.2,322301.9,318302.3,325846.6,37066,38012,38819,39628,40436,41244,42393,43336,39357,39900,40377,44929,45587,46206,46787,47335,46787,48287,9979,9891,10228,10577,10938,11280,11633,11997,12373,12760,13041,13328,13621,13921,14227,14480,14738,15000
565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47440,50000,65320,57000,57000,65000,74000,89000,94000,120000,109000,91000,80000,131000,169000,166000,197000,239000,10,8,8,8,8,8,8,8,3,3,9,9,9,9,9,9,9,9,0,148.3574,160.2656,177.4284,188.8589,590.3288,581.4637,558.7623,646.2224,668.9543,744.6028,746.8653,704.1828,772.416,842.8908,875.9691,919.9486,996.6858,1352,1388,1424,1461,1499,1536,1575,1613,1660,1695,1726,1726,1860,1891,1923,1957,1992,2028,114,118,121,126,132,137,142,147,152,158,163,169,175,181,188,194,201,208
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23744,22836,37780,17100,32000,33000,33000,32000,42000,34000,27000,24000,20000,27000,33000,35000,35000,40000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,427.1344,439.9816,455.3771,471.5115,486.9181,500.4821,513.9894,524.0573,522.5126,680.5339,702.9696,708.3135,714.0351,721.2339,715.2957,730.0015,694.2167,696.6357,1783,1830,1878,1927,1977,2027,2078,2131,2062,2108,2153,2153,1937,1958,1977,1995,2014,2032,126,133,140,148,157,164,172,180,189,198,206,215,224,233,243,252,261,271
571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130940,61000,-9,166000,234000,225000,234000,241000,261000,259000,275000,203000,229000,323000,312000,305000,289000,317000,6,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,1127.599,1130.607,1254.022,1253.047,1279.832,1303.487,1136.542,1205.425,1367.3,1197.896,1433.848,1399.466,1453.955,1337.743,1452.541,1509.789,1582.126,1661.445,1300,1348,1358,1381,1423,1456,1496,1533,1570,1597,1622,1681,1650,1673,1693,1708,1720,1736,129,137,157,177,196,216,236,256,275,295,315,186,191,197,202,208,213,219
572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9652,9652,-9,20000,22000,23000,24000,23000,27000,21000,205000,20000,-9,-9,-9,-9,-9,-9,3,3,3,3,3,3,3,3,3,3,-9,-9,-9,-9,-9,-9,-9,-9,693.6889,664.1334,628.5001,558.0753,698.7565,658.4798,638.5336,1049.746,1097.054,1128.735,1422.649,1342.51,1363.064,1364.994,1383.701,1435.843,1463.973,1507.943,769,796,833,851,879,908,938,906,952,980,1008,1030,1056,1081,1105,1126,1146,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36630,30400,30980,37000,55000,33000,38000,37000,45000,-9,-9,-9,293000,324000,272000,54000,54000,82000,21,21,21,21,21,21,21,21,20,20,-9,-9,14,14,13,13,14,14,2768.509,2891.558,3004.17,3151.212,3335.169,3498.254,3656.042,3463.418,3532.239,3714.358,4009.92,3862.016,3687.138,4079.254,3953.505,3687.432,4305.625,4291.499,11197,11493,13504,13950,14406,14874,15353,15845,15057,15497,15942,15529,15981,16441,17206,17730,18275,18820,641,674,709,745,784,824,867,911,958,1007,1057,1109,1086,1062,1039,1015,1054,1094
581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.21103,2.21103,2.21103,2.21103,2.21103,2.21103,2.333866,2.579536,2.948041,3.439381,3.807886,4.176391,4.422061,4.790566,6.018917,6.510257,6.878762,6.387421,523,539,557,575,593,612,632,651,658,676,694,694,564,576,588,600,614,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
