"country","year","warstns","ln_popns","ln_gdpen","pt8","dlang","drace","drel","ef","ef2","ehet","elfo","elfo2","numlang","plural","plurrel","relfrac","etdo4590","second","auto4","dem","dem4","exrec","mirps2","mirps3","parcomp","parreg","part","pol4","pol4m","polcomp","reg","sip2","xconst","anoc","mirps0","mirps1","partfree","pol4sq","ager","autch98","demch98","durable","inst3","nwstate","p4mchg","polch98","proxregc","incumb","inst","major","presi","autonomy","centpol3","fedpol3","semipol3","avgnabo","nmdgdp","nmdp4_alt","regd4_alt","geo1","geo2","geo34","geo57","geo69","geo8","nat_war","tnatwar","gdpgrowth","expgdp","trade","illiteracy","infant","life","pri","seceduc","agexp","fuelexp","manuexp","oil","sxpnew","sxpsq","lmtnest","ncontig","popdense","army85","milper","decade1","decade2","decade3","decade4","coldwar","warhist"
"Afghanistan",1977,0,16.5854072570801,-0.0222456231713295,0.014328188175073,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,4,0,0,1,4,1,-7,-7,1,1,0,1,0,0,1,0,49,107,0,0,12,0,0,0,0,5.96046447753906e-08,0,0,0,0,0,1,0,0,0.310123592615128,0.808573603630066,-7,-7,0,0,0,1,0,0,1,1,-0.00989315433610405,13.2173900604248,28.0869598388672,84.0999984741211,194,40,26,8,39.3901405334473,13.2242002487183,11.5137500762939,0,0.103522501885891,0.0107169086113572,4.19870519638062,0,22.6456203460693,47000,142,0,1,0,0,1,0
"Afghanistan",1978,1,16.5937080383301,-0.00200197682715952,0.0131390064883393,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,5,0,0,1,4,1,-7,-7,1,1,0,1,0,0,1,0,49,108,0,0,13,1,0,0,0,1.49011611938477e-08,0,0,0,0,0,1,0,0,0,0.808514654636383,-7,-7,0,0,0,1,0,0,1,1,-0.0704038432116505,11.6628999710083,26.4860801696777,82.9000015258789,194,40,26,8,36.8364295959473,15.5519031478658,14.5761404037476,0,0.0775695964694023,0.00601704232394695,4.19870519638062,0,23.2362899780273,47000,143,0,1,0,0,1,0
"Albania",1960,0,14.2898797988892,-0.438504993915558,0.0170391833228947,10,0,30,0.0966000035405159,0.00933156069368124,40,39.1000247509101,2326.88528474821,6,0.949999988079071,70,0.46000000834465,0.771193756524365,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.332920782137794,81,48,0.46452875184754,-0.524602146010475,13,0,0,0,-0.933440985657089,1.49011611938477e-08,0,0,0.343860644242658,0.042830386552289,0,1,0,0,0.902673602104187,0.695722103118896,-1.5,-7,0,1,0,0,0,0,0,0,0.136361730608147,55.0205581002069,135.659155040764,27.734460748882,81.4627440876552,57.727132797234,109.25767110543,53.9163268119989,-7.6407143423724,4.74830941369049,52.2045519076253,0,0.215709334736631,0.0313252941812453,2.27052307128906,0,608.644128650888,501567.934924305,871.526921299298,1,0,0,0,1,-0.266261393649327
"Albania",1961,0,14.3223285675049,-0.353821843862534,0.015625,10,0,30,0.0966000035405159,0.00933156069368124,40,45.2742086690575,3178.02869384954,6,0.949999988079071,70,0.46000000834465,0.207963041803487,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.038669700490358,81,49,0.0571888832614626,0.0210810170786707,14,0,0,0,-0.416669342160781,3.72529029846191e-09,0,0,0.311089415224842,-0.0164155743780536,0,1,0,0,0.902673602104187,0.777072310447693,-1.5,-7,0,1,0,0,0,0,0,0,0.0466541351886652,26.2137694752537,100.909817937857,32.6673422535567,100.906548956311,56.7423948362771,94.9509291176184,35.406827454716,11.6663139751934,-20.2304809835735,48.2906426132432,0,-0.0222525648009601,-0.133560825298927,2.27052307128906,0,293.135985527608,-58733.6280310504,193.550439367876,1,0,0,0,1,0
"Albania",1962,0,14.3525886535645,-0.297059267759323,0.014328188175073,10,0,30,0.0966000035405159,0.00933156069368124,40,58.9266253462815,3903.02689840489,6,0.949999988079071,70,0.46000000834465,0.738684395998051,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.40749869206285,81,50,0.417619541799383,-0.321927441027846,15,0,0,0,-0.778580714360396,9.31322574615479e-10,0,0,-0.00211508425997026,0.448760989363319,0,1,0,0,0.902673602104187,0.773003578186035,-1.5,-7,0,1,0,0,0,0,0,0,-0.0145054825404047,23.8704556752273,77.4394268882226,47.7450817133173,122.880008357223,58.2192560647644,102.8852413958,18.416938857409,14.3958506102315,8.50709440022111,50.3417869781699,0,-0.0293263013708875,-0.0401362173757422,2.27052307128906,0,241.294059517891,143563.293140322,69.6908734647502,1,0,0,0,1,0
"Albania",1963,0,14.3808240890503,-0.381260365247726,0.0131390064883393,10,0,30,0.0966000035405159,0.00933156069368124,40,52.2862574561681,3849.30885232607,6,0.949999988079071,70,0.46000000834465,0.460532808621769,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.165851129891941,81,51,-0.285659338504452,0.373949644172612,16,0,0,0,0.38507410374564,2.3283064365387e-10,0,0,0.360672387883804,-0.10047224329976,0,1,0,0,0.902673602104187,0.86808979511261,-1.5,-7,0,1,0,0,0,0,0,0,0.123517660850853,52.2505673112463,59.3512471880139,37.7207135607593,71.0689716755771,64.5244367695682,68.8653266069292,47.5418875439477,7.89514067555468,3.9345589362463,51.4839577664725,0,0.108583450704728,0.129268761509989,2.27052307128906,0,489.088517560687,212972.27936645,528.539968362492,1,0,0,0,1,0
"Albania",1964,0,14.4110450744629,-0.295714229345322,0.0120485220734995,10,0,30,0.0966000035405159,0.00933156069368124,40,35.5468238920803,2032.1328761105,6,0.949999988079071,70,0.46000000834465,0.712565279426769,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,0.0363230598670671,81,52,-0.394080948874284,0.0977204831177089,17,0,0,0,0.134714814549786,5.82076609134674e-11,0,0,-0.1068473259982,0.0745232923323782,0,1,0,0,0.902673602104187,0.961627721786499,-1.5,-7,0,1,0,0,0,0,0,0,0.0310111180863032,36.1305824402844,50.9066904279834,38.451863141567,112.22582005615,55.8282495378911,71.2292526490926,32.7013285329297,28.427146971795,-14.5979272919976,18.3880941156147,0,0.199814747308287,0.0396623090977411,2.27052307128906,0,99.6096016107841,264404.06131506,149.863904842584,1,0,0,0,1,0
"Albania",1965,0,14.4414491653442,-0.316081583499908,0.0110485434560398,10,0,30,0.0966000035405159,0.00933156069368124,40,28.6877304915994,1370.04315618201,6,0.949999988079071,70,0.46000000834465,0.461970346588863,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.0586997296068235,81,53,0.78902654361146,0.00380723596834082,18,0,0,0,-0.769820810752446,1.45519152283669e-11,0,0,-0.121161409483749,0.239029799425299,0,1,0,0,0.902673602104187,0.999540567398071,-1.5,-7,0,1,0,0,0,0,0,0,0.0899275065090629,16.352477340499,54.9173836726791,37.8367528218965,118.375510096974,55.0991538179523,95.232977574474,28.1823144361237,17.1794533464665,7.75110603336718,6.14854909115278,0,0.174140788013333,0.0730223130294427,2.27052307128906,0,-269.190098094933,477394.013505609,389.511021065275,1,0,0,0,1,0
"Albania",1966,0,14.4647054672241,-0.115410879254341,0.010131559020711,10,0,30,0.0966000035405159,0.00933156069368124,40,18.5024887467368,594.407430830539,6,0.949999988079071,70,0.46000000834465,0.595842307173561,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,-0.457341457082802,81,54,0.168371993410877,0.697762033450932,19,0,0,0,0.87953609911545,3.63797880709171e-12,0,0,-0.0776510436939704,0.316540482387649,0,1,0,0,0.902673602104187,1.04424214363098,-1.5,-7,0,1,0,0,0,0,0,0,0.0121973022849489,35.7957064607058,69.1377903968591,36.9061397368673,102.076041892082,54.2986249362364,61.1682537165524,40.4931466852697,12.494218049089,-24.2365613990562,39.0569122762413,0,0.273422426669608,0.198174500651175,2.27052307128906,0,125.287572361269,46058.6687943726,-55.218428054748,1,0,0,0,1,0
"Albania",1967,0,14.491003036499,0.0246925894171,0.00929068058595876,10,0,30,0.0966000035405159,0.00933156069368124,40,33.3803111290125,1633.73880579457,6,0.949999988079071,70,0.46000000834465,0.361941278936034,0.0299999993294477,9,0,0,3,1,0,1,4,1,-9,-9,1,1,0,1,0,0,0,0.348506009041203,81,55,0.251258604485466,-0.218860225656484,20,0,0,0,-0.78721837903209,9.09494701772928e-13,0,0,0.249227199546885,-0.422658481424921,0,1,0,0,0.902673602104187,1.08206152915955,-1.5,-7,0,1,0,0,0,0,0,0,0.10712327787914,9.52955133429645,91.43346376689,48.256786945651,131.439627189344,52.653412285004,61.1442704484535,25.6344854631531,11.7567643761281,-2.89581232318285,20.811677390971,0,0.215377350644117,0.180225538775206,2.27052307128906,0,-168.778154894445,-71445.354036816,-589.360008891186,1,0,0,0,1,0
